رقم الصفقة,التصنيف,النوع,سعر الصفقة (ريال),المساحة (متر مربع),سعر المتر المربع (ريال),تاريخ الصفقة,المنطقة,المدينة,الحي,المخطط,القطعة,الملاحظات
28479312,أخرى,أخرى,1300000,655٫50,1983,20/03/2025,حايل,حائل,الياسمين,999,97,
28479308,أخرى,أخرى,0,48438٫80,0,20/03/2025,جيزان,بيش,جهة المخرج الشامى من معمال بيش,بدون,بدون,هبة
28479305,تجاري,وحدة تجارية,125000,52٫29,2390,20/03/2025,القصيم,بريده,النخيل,374 / 2 / ق,3 / أ,
28479301,أخرى,أخرى,0,704٫00,0,20/03/2025,الشرقية,الخبر,قرطبة,ش خ 529,138,هبة
28479299,سكني,قطعة أرض,0,850٫00,0,20/03/2025,مكة المكرمة,جده,الرغامة,341/ ج/ س,11,هبة
28479293,أخرى,أخرى,0,600٫00,0,20/03/2025,جيزان,بيش,بدون,32 بحى الصفاء,80,هبة
28479286,أخرى,شقة,700000,137٫85,5077,20/03/2025,مكة المكرمة,جده,النهضة,17ب,1 / 3,
28479279,أخرى,أخرى,128127,498٫27,257,20/03/2025,حايل,حائل,الجثاميه,2917 المعدل 2,289,
28479265,سكني,قطعة أرض,3600000,750٫00,4800,20/03/2025,مكة المكرمة,جده,الصفا,3/ 465/ ع,1885,
28479264,أخرى,أخرى,898750,640٫00,0,20/03/2025,تبوك,تبوك,البوادى,545 / 38 / ت,1692,فك رهن
28479263,أخرى,أخرى,100000,600٫00,166,20/03/2025,الجوف,سكاكا,الصالحية,13 / 1 / 2 / 1443,16,
28479260,أخرى,شقة,645000,170٫37,3785,20/03/2025,مكة المكرمة,جده,المنار,656 / ج / س,3 / أ,
28479256,سكني,شقة,600000,200٫50,2992,20/03/2025,مكة المكرمة,جده,الفيحاء,480 / ج / س / المعدل,2 / ح1,
28479254,سكني,قطعة أرض,700000,300٫00,2333,20/03/2025,الرياض,الرياض,الجنادرية,3963,657,
28479253,تجاري,قطعة أرض,0,952٫00,0,20/03/2025,مكة المكرمة,جده,الرغامة,341/ ج/ س,10,هبة
28479250,أخرى,أخرى,0,765٫75,0,20/03/2025,الشرقية,النعيريه,بدون,ش ن / 133 / معدل 1,369 / ح,هبة
28479247,أخرى,أخرى,171875,343٫75,500,20/03/2025,الرياض,الخرج,الزاهر,1768,أ / 118,
28479241,أخرى,أخرى,955605,399٫97,2389,20/03/2025,المدينة المنورة,المدينة المنورة,حمراء الاسد / أ,13 / ف / 1410,267 / 1,رهن
28479240,أخرى,أخرى,1100000,1023٫00,1075,20/03/2025,مكة المكرمة,مكة المكرمة,العمرة,1 / 32 / 1,2379,
28479232,سكني,قطعة أرض,0,1841٫25,0,20/03/2025,الرياض,الرياض,المعذر,1126,824,فرز/دمج
28479231,أخرى,أخرى,0,1543٫50,0,20/03/2025,الرياض,الرياض,المعذر,1126,1029,فرز/دمج
28479220,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,763,فرز/دمج
28479219,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,761,فرز/دمج
28479218,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,759,فرز/دمج
28479216,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,757,فرز/دمج
28479215,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,755,فرز/دمج
28479214,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,753,فرز/دمج
28479213,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,754,فرز/دمج
28479212,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,756,فرز/دمج
28479211,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,758,فرز/دمج
28479210,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,760,فرز/دمج
28479209,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,762,فرز/دمج
28479208,أخرى,أخرى,0,750٫00,0,20/03/2025,الرياض,الرياض,ضاحية نمار,1629 / ط 2,764,فرز/دمج
